CustomerID,ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,PitchSatisfactionScore,NumberOfChildrenVisiting,MonthlyIncome,Weather,review_text
200000,1,41,Self Enquiry,3,6,Female,3,3,Deluxe,3,1,2,0,20993,drizzle,"Really enjoyed our time in Athens in this apartment. It is a decent, clean and comfortable place. The bed is comfy. There is a kitchen with all the utilities you need. The apartment is located in central Athens and every nice site is within walking distance. Public transport is nearby and really accesible (€1,40 for every form of public transport for 90 min - june 2017).

We live in a rural area and aren't used to a lot of city noise, so we brought along (wax) earplugs, and needed them. In the morning there is construction noise from other apartment, so we enjoyed a bit of siësta every other day :-)!

Stelios is a really friendly host, easy to communicate with. He picked us up from the metrostation and showed us where the apartment was.

Would recommend this apartment (and in our case with some earplugs:-p)"
200001,0,49,Company Invited,1,14,Male,3,4,Deluxe,4,2,3,2,20130,rain,"The location is perfect, it can't be better certainly. The house is very clean, everything is new and modern. The house is  good organized, has lovely kitchen, and also has a balcony. The more important one is that Stelios is a very good Host, he waited as from the Metro Station and took to house, he met all our requests and flexible about check-out time, i wish to stay again."
200002,1,37,Self Enquiry,1,8,Male,3,4,Basic,3,7,3,0,17090,rain," The best one we've stayed at! Stelio was very helpful, check in and check out was so easy and the apartment was clean. The air conditioning made our stay very comfortable! "
200003,0,33,Company Invited,1,9,Female,2,3,Basic,3,2,5,1,17909,rain,"Stelios was great! He met us at theMONASTIRAKI metro station and walked us to the apt; on the way he recommended a few places we should visit and also a few restaurants we should try. The apt. was great as well, centrally located, no need to take any public transportation as most places to visit in Athens were within a 10-15 min walk max. Also conveniently located if you are planning to take the metro to the airport."
200004,0,,Self Enquiry,1,8,Male,2,3,Basic,4,1,5,0,18468,rain,"The apartment was perfect for our 3-day Athens stay .... excellent location - we walked everywhere, gorgeous neighborhood, great vibe and restaurants close by, the apartment itself was just right - spacious for 2, very clean, and everything we needed. Stelios and his brother were both very helpful with tips and in touch regularly to assist in any way . Highly recommended. "
200005,0,32,Company Invited,1,8,Male,3,3,Basic,3,1,5,1,18068,rain,"Very nice studio, 2 min walk from the main shopping street, a lot of restaurants and bars just up the street. Studio very clean, Stelios is always available through messages to make sure we have everything we need. 10 min walk fromPLAKA, the most ""typical"" neighbourhood of Athens."
200006,0,59,Self Enquiry,1,9,Female,2,2,Basic,5,5,2,1,17670,rain,"Pure excellence! The apartment is beautiful, modern, and located within a hip neighborhood filled with shops, restaurants, and bars. I felt very safe and comfortable in the building and would highly recommend it. In addition, Stelios was so helpful and hospitable! He met me at a central meeting point to show me the location of the apartment for check in, arranged for a cab to the airport, and went out of his way to make sure I felt comfortable and secure. I would definitely stay here again- it was one of the best experiences I have had with Airbnb! "
200007,0,30,Self Enquiry,1,30,Male,3,3,Basic,3,2,2,1,17693,sun,The flat was really nice and we enjoyed a lot the area ofEMPORIKO TRIGONO - MONASTIRAKI - PLAKA in Athens !
200008,0,38,Company Invited,1,29,Male,2,4,Standard,3,1,3,0,24526,rain,"We had a really nice stay at Stelios' place. The apartment is very clean and well furnished. Perfect location as well, we could reach everything by feet. Stelios is a generous person and made us feel very welcome."
200009,0,36,Self Enquiry,1,33,Male,3,3,Deluxe,3,7,3,0,20237,rain,"We had a really great stay at Stelios place, it's the perfect location to access everything, it was super clean and was exactly as described. Would love to stay here again!"
200010,0,35,Self Enquiry,1,22,Male,2,2,Basic,4,1,3,1,17426,sun,"Stelios was a great host, he communicated promptly, arranged a taxi to pick us up from the airport and then met us at the apartment.

The apartment was spacious and ideal for the two of us in terms of space and location.

I actually recommended a friend to stay there who will be in Athens in the next few days but there was unfortunately no availability."
200011,0,,Self Enquiry,1,21,Female,2,4,Deluxe,3,1,3,0,,sun,"Stelios is a very good host and will be of a great help during your stay.
The apartment is clean, well equipped and very central in the city.
Overall, it makes it easy to enjoy Athenes!"
200012,0,31,Self Enquiry,1,32,Male,2,3,Basic,3,2,3,1,17911,sun,"We had a good time in Athens. The apartment is really nice for a couple or maybe 3 persons. At the weekend, it is perfectly located because it is in the middle of the nightlife. Young people are everywhere and lots of cool bars or restaurants are around the apartment. Saturday night was a bit loud and we could hear the nightlife until 4 a.m. but that wasn't a problem for us. Unfortunately there have been building works at the house on monday which woke us at 6:30 in the morning. 
Stelios was busy but friendly. He picked us up at the metrostation and brought us to the apartment, that was really good. "
200013,0,34,Self Enquiry,1,25,Male,3,3,Basic,3,1,3,2,17661,snow,Great apartment located in a good spot in athens
200014,1,28,Self Enquiry,1,30,Male,2,4,Basic,3,6,2,0,17028,snow,"Stelios kindly welcomed us at the train station in the evening and showed us the surroundings of the flat. The flat was clean and the location is perfect to visit Athens on foot.
Charline & Thomas"
200015,0,29,Self Enquiry,1,27,Female,2,2,Standard,5,2,5,1,24980,snow,"Very spacious and comfortable apartment in good location. Short walk to metro and many attractions. Stelios is a great host, very responsive communication, proactively ensures everything is ok.  Any help we need he is always there. We enjoyed our 3 nights."
200016,0,32,Self Enquiry,1,11,Male,3,2,Basic,4,1,2,0,18298,snow,Great place to stay! However a bit noisy in the morning
200017,0,22,Company Invited,1,22,Male,3,2,Basic,3,2,3,0,17935,snow,This sunny apartment is perfectly located in Psirri and nice restaurants are at 5-10 minutes walk. Perfect address for a long weekend. Highly recommended!
200018,0,53,Self Enquiry,3,8,Female,3,4,Super Deluxe,3,3,3,0,30427,snow,"Stelios has been a great host. His studio is very clean, modern and perfectly located in Athens. It is a very good option. I warmly recommend it."
200019,0,,Self Enquiry,1,8,Male,2,3,Basic,3,6,4,1,,snow,Very Nice place to stay. Everything was at a walking distance and the neighborhood was perfect to pass the night in good restaurants
200020,0,,Company Invited,1,17,Female,3,2,Deluxe,3,1,3,2,,rain,Lovely place
200021,1,,Self Enquiry,3,15,Male,2,4,Deluxe,5,1,2,0,18407,rain,"Overall great! Wifi, a/c. close to metro, central, normally quiet. Low key bar right outside. Host very responsive when wifi stopped working.

Temporary downside was the construction everyday at 7am. Why?!?! Not the hosts fault."
200022,0,34,Self Enquiry,1,13,Fe Male,2,3,Standard,4,1,3,0,26994,rain,"I would recommend this studio to anyone visiting Athens. It is in the MOST perfect location - the heart ofMONASTIRAKI - central to everything you will want to see during your visit. It’s also a 4 minute walk from the Metro station; making it easy to arrive from the airport. 

The space is clean, and the perfect size for a couple or two friends traveling together. It is in a busy part of Athens, but a mix of tourists and locals alike. We had no problems with loud noise or anything keeping us up. 

Loukas met us at the metro station upon our arrival and gave us a quick tour of the area so we knew where to see a great view, where to eat, and where to grab a drink. Thank you for a great stay!"
200023,0,21,Self Enquiry,1,21,Male,3,3,Basic,3,2,3,1,16232,rain,"Stelios was a great host. He met us at the metro station and guided us to the apartment. From there he gave us awesome reccomendations for activities and places to eat and drink (and what trains to take to get to Piraeus). The apartment was super clean and really stylish. The air conditioning was an added and necessary bonus cause Athens is much warmer than I expected.

 The location felt safe and was close by a ton of good places to eat and a 10 minute walk to the Acropolis and close by to a lot of the other major sights. It was honestly such a great value for such a nice place. Perfect for couples or any two people who are willing to share a bed :). Thanks again for the great stay!"
200024,1,34,Self Enquiry,1,12,Male,2,3,Basic,5,3,2,1,17960,rain,"We stayed here for a week and everything was great! The place is more modern looking and new compared to how it looks from the photos. Entrance to the apartment is from a small street, but it did not make us feel unsafe at all. A convenience store just 1 min walk away (though the trading hours are variable) and lots of good restaurants within 100m.  Short walk to nearby monastiraki metro station. Great location! The host Loukas is very friendly and responsive to messages. Overall great stay and value for money!"
200025,0,53,Self Enquiry,1,11,Female,2,3,King,3,5,5,1,34094,rain,A great apartment in a fantastic location...will return
200026,1,,Company Invited,1,22,Female,3,5,Basic,5,2,4,2,,drizzle,We had some trouble when arriving and Stelios has been incredibly helpful. He is the perfect host! The apartment was really convenient by its setting and it location.
200027,0,42,Self Enquiry,3,14,Male,2,3,Deluxe,4,1,3,1,21825,rain,We loved our stay! The place was just as described. The location is very convenient - we walked to everything we wanted to see in Athens. Getting picked up from the airport was very smooth even though we arrived very early in the morning and we received lots of helpful advice for seeing the city! Would definitely stay again!
200028,0,44,Self Enquiry,1,13,Female,2,4,Standard,3,4,4,0,25248,rain,"Fabulous find right in the heart of Athens. Besides coming from the airport, which was an easy straight-shot via the metro, I never needed to use public transportation. There are amazing places to eat and drink less than 5 mins walking distance. Host was very communicative and obliging, even though I booked the place last minute. WiFi worked well, place was clean, and I had no problem with street noise whatsoever. I would stay here again in a heartbeat! "
200029,0,46,Self Enquiry,3,8,Female,2,3,King,5,4,2,1,33947,rain,"Great location, wonderful host and very clean."
200030,0,33,Self Enquiry,1,8,Male,3,3,Basic,3,5,3,2,17496,rain,The apartment was very nice and clean and in a great location! The hosts were very accommodating and offered transportation to and from the airport/port at a reasonable price. 
200031,0,44,Self Enquiry,1,16,Male,2,3,Deluxe,3,3,3,1,21465,rain,"Perfect location, modern flat, very clean. We had a wonderful stay. Don’t hesitate a moment."
200032,0,30,Self Enquiry,1,15,Male,2,4,Basic,3,2,4,1,17206,sun,Lucas answered all of our questions . He was above and beyond. We had a great stay here . It is located in a good location. I will definitely stay here again when I come back to Greece . 
200033,1,39,Self Enquiry,3,11,Male,2,3,Deluxe,3,4,2,1,17086,sun,Very good stay in a great flat !
200034,1,24,Self Enquiry,1,6,Male,3,3,Basic,3,3,3,2,17293,sun,"Hey what do I say about Dimitrios? A perfect host....Just Perfect. (Website hidden by Airbnb) was bit skeptical to stay at his place as he did not have any reviews...But he is just superb and unique, very accommodating, always helpful till the last hour....I really appreciate he came to receive me at the tram station and met me as a friend then as a host...he cooked for me, which is very unusual I ever experienced...he gave all the necessary information about the roads leading to his house, the places to be visited, public transport network. He ensured that I was safe and always in touch with me inquiring my whereabouts and if I need any help. He was always there just like a close friend. It's indeed very difficult to find such people who become best buddies and asset in your life. I recommend him always for a stay in Athens and would never ever think anybody else other than him to stay in Athens....he is the best host I ever had in my Airbnb experience....A close and dear friend now..... thanks Dimitrios for your hospitality..."
200035,0,43,Self Enquiry,1,8,Female,3,2,Basic,3,2,2,1,17645,sun,"Everything was well organized. Stelios met us in the metro station (very kind gesture) and he was always on call. Also he gave us a mobile phone with his number if we needed anything. Moreover he thought every little detail to make our stay comfort, he is friendly and responsive. The location is perfect(near to significant places) , the neighborhood is interesting secure and varied: bakery, kiosk, many restaurants, grocery -just a short walk to the Acropolis,PLAKA,MONASTIRAKI. About the flat was as shown in the pictures. Brand new, very clean with perfect beds and bathroom. Ideal for family or group. We are definitely stay here again in our next visit!"
200036,1,50,Self Enquiry,3,9,Male,2,4,Basic,3,2,4,0,17683,sun,"Stelios was an amazing host ! Beside the fact the apartment was in the area in town and we were close to evreything it had evrething we needed in it including a phone in which stelios made sure we are fine and gave us recommendation about what to do each day. 
While we were there there was a strike in Athens so he came picking us from the airport making sure we won't have to take a trxi and gave us a tour around the city so we will find evreything. 
There was evreything we needed in the apartment and more than that . 
Amazing host and amazing place !"
200037,0,35,Self Enquiry,3,8,Female,3,3,Basic,3,2,2,0,17014,rain,"We can't say enough about Stelios' clean, modern apartment! Located close to everything, our family of four had an amazing time in Athens. Stelios was very active throughout the entire process, easy to communicate with, and he met us at the apartment upon arrival. The space itself was exactly as pictured/advertised, and Stelios even stocked the fridge and cabinet with essentials like beer, coffee, tea, etc. An added bonus for families: the apartment is easily accessible and features a lift for large bags and baby trolleys, unlike you might find in other areas such as thePLAKA. All in all we had a great stay. The only potential drawback: being in Psyrii the unit can get some street noise at night, and the bells of the nearby Orthodox Church were very active on Sunday morning. Our family - including a couple of young children - slept right through the noise so it didn't bother us, but it is something for light sleepers to consider. Thanks for the great experience, Stelios!"
200038,0,36,Self Enquiry,1,11,Female,2,4,Basic,,1,2,0,95000,rain,"Pros:
- Modern, roomy and clean apartment
- excellent location
- Host is very nice and helpful
Cons:
-Noisy at nights, damn mosquitoes"
200039,0,33,Company Invited,3,6,Female,2,2,Deluxe,5,3,3,0,20376,rain,"Stelios was absolutely helpful and made everything to adapt to our constraints. He was also very much friendly and we immediatly felt at ease. The flat is new and perfectly equiped. 
Do not hesitate to stay there. 
The only little suggestion I would formulate concerns the A/C: all 3 A/C systems are not indepedant, so that one can not open the window in the bathroom and the other one have the A/C on in any of the rooms. "
200040,0,35,Self Enquiry,1,10,Male,3,3,Basic,3,2,4,0,16951,rain,"This apartment is accurately described - both in the title and photos. It is a modern and comfy flat ideal for family. Clean, immaculate, well-equipped and its location is great for tourists. Many major attractions are within walking distance and we (as a group of 5) barely used the metro when in town. Stelios the owner was friendly and helpful, who greeted us at the nearby metro station, showed us the way to his place and gave a concise introduction to the different utilities in the flat. Two local sim phones were provided to aid communication with him which was responsive, prompt and easy. You might even find some pleasant surprise when you open the fridge! :)"
200041,0,27,Self Enquiry,1,8,Female,2,3,Basic,5,2,3,1,17341,rain,"I'm a frequent traveller and this is The best apartment ever seen! Absolutely!!
Great position, great room and cleanless. Tv and air-conditioner in every single room. All new!
And great owner too! Thank you Stelios!"
200042,1,26,Self Enquiry,1,31,Male,2,5,Basic,3,2,2,1,17293,rain,"Stelios was a wonderful host. He went above and beyond expectation. 
  The location was prime. It was extremely convenient to public transportation. Walking distance to Monistiraki and tons of restaurants/shopping.
  The place was immaculate.  We would definitely return again. 
"
200043,0,27,Company Invited,3,14,Male,2,3,Standard,3,2,2,0,23726,rain,"
Stelios is a great host . He have us a watting wellcome 
He gave us a warm welcome and showed us personally places around the department.The place is perfectly located , close to everything, you can walk to the acropoli , metro , restaurants , shops and everything you need. Definitely we recommend Stelios and modern apartment.
"
200044,0,,Company Invited,1,6,Female,2,3,Deluxe,3,2,3,0,,rain,"Stelios was super accommodating! He even went so far as to pick me and my friends up from the port because we were unclear on how to use the metro to find his place. His place was exactly described in the post but even better! So much space and exceptionally clean. All of the bedding and furniture look brand new and very nice. the location of his place is unreal. You are right at the heart of the city, near the Acropolis, monostriaki flea market and plaka. I couldn't have asked for a better place to stay while in Athens. He also shared with us some of the best places to eat and grab cocktails, so we had a much better idea of how to naviagte the area. I felt very safe staying at his place and you have everything you need- wifi, tv with cable, Ac in all rooms. I highly recommend this place! The only thing I would say is that there is loud construction downstairs. If you are trying to sleep in, it is very hard to sleep in later than 8am because the drilling is very loud. That may be only when I stayed in mid July but just in case you should know. In addition, he had a friend who drives a cab, so last
Minute, he was able to have his friend drive us to the airport the next day, which made it less stressful than figuring out how to take a bus. His friend also offered us a tour of south Athens and the area by the beach that we wouldn't have seen otherwise. I also recommend his friend if you would Like a guide from the airport to the Airbnb because he tells you a lot of Attica and where else to go in Athens. "
200045,1,41,Self Enquiry,1,18,Female,2,3,King,3,2,4,0,34545,drizzle,"I stayed at Stelios' flat with three friends of mine for a couple of days. We all have nothing but positive remarks to make about our stay! The location was perfect - within walking distance ofMONASTIRAKI metro station, the flea market ofMONASTIRAKI, the lively bars and restaurants of Psirri and even Syntagma Square, and still, so calm and quiet! 
The flat was AMAZING - the photos provided by Stelios do absolute justice to the comfortable, cozy, clean and spatious rooms! Big plus in these hot, summer days: the fact that all three areas (kitchen/living room, 2 bedrooms) were equipped with air-conditioners!
Stelios was an excellent host! He was very friendly, always available on the phone both prior to and during our stay, and he gave us nice tips about moving around the city. Our already pleasant stay became even greater thanks to Stelios' help and kind gestures (water and juice in the fridge, shampoo & shower gel in the bathroom).
On behalf of all my friends, I strongly recommend this flat to groups/families of 3 to 5 people! As all of us are Greek and may travel to Athens again soon, we will definitely pick Stelios' flat as our accommodation once again!"
200046,0,34,Company Invited,3,,Male,3,3,Deluxe,3,1,5,1,19568,rain,"This was the perfect location for exploring all the historical center sites and walkable to shopping and the metro stop! Stelios was a great host, incredibly communicative, accommodating and helpful. We loved our comfortable beds. The flat is thoughtfully designed to make us all comfortable for our group of 5. We'd highly recommend it!"
200047,0,37,Self Enquiry,1,25,Male,3,3,Basic,4,5,4,1,18022,rain,"Very nice host, generous. Comfort apartment, fantastic zone. We have the best time! "
200048,0,46,Company Invited,3,11,Male,3,3,Deluxe,3,5,5,1,20772,rain,"Do not think of Stelios as simply a host. Stelios is like a very close friend or even family member. My ex wife and two daughters stayed in his flat for four days. From the second they landed they speak of how friendly he was. my youngest had an allergy attack during the trip. They called Stelios asking for advice on available medical care. Stelios insisted to escort them to the hosptial, and would not take no for an answer.
A truly amazing person. when your trip is over, you would be leaving Athens with a lifetime friend.

Stelios, I can not thank you enough for the care and hospitality you have shown the dearest people in my life. i owe you, please call upon me any time.

The apartment is WOW, location WOW, Cleanliness WOW. Amenities WOW, Wi FI WOW, i could go on forever.

if you plan to visit Athens, stay with Stelios and feel right at home."
200049,0,35,Self Enquiry,1,14,Male,2,2,Basic,3,2,5,1,17269,sun,"Stelios was a great host. Was there to receive us, and was helpful even during the trip when we had questions about Athens! The location is great - very central and easy to get around. since it is such a central neighborhood however it does get loud at night "
200050,1,48,Self Enquiry,1,6,Male,3,4,Standard,3,1,5,2,20381,rain,"We have stayed with our four kids for 3 nights at Stelios' Apartment and we had a really pleasant stay from the time we arrived at the metro station until our leave! We had a warm welcoming by Loucas, a relative of Stelios, at the metro station at ""Monastiraki"", who led us at this perfect apartment-3 minutes walk!  The photos are representing the actual picture and condition of the apartment which is really clean, modern and tidy with all the amenities.  During our stay, when we needed something, with just an sms the answer was there and anything was settled in a moment!  We are really impressed by EVERYTHING and surely I recommend it to anyone that is looking to stay in Athens.  And just have in mind that even it is located in the center of Psirri area, it is in a quiet neighborhood and you are near to everything including cite-viewing, restaurants and shopping!   We finally discovered a place to stay in Athens for our future vacations!  Thank you so much Stelios and Loucas for everything! Hope to meet again someday!"
200051,1,,Self Enquiry,1,11,Male,2,3,Basic,3,2,2,0,18441,rain,"Stelios was waiting for us as we arrived, and the apartment was nice, new, and clean. It was great that we were able to come back to somewhere so relaxing after a busy, hot day in the city, and he was kind enough to let us check out late - thank you!"
200052,0,44,Self Enquiry,3,6,Female,3,3,Deluxe,5,6,2,0,20454,rain,"Everything was as expected and as shown in the pictures. The apartment was cleaned, cosy and very colse toMONASTIRAKI square. Stelios has been a great host and helped us explaining how to get there and waiting for us at the metro station, even if our flight had a 3hours delay."
200053,0,35,Company Invited,1,17,Male,3,4,Standard,5,3,5,1,24884,sun,"The host was very welcoming although we arrived very late he was waiting for us. The place is exactly what you see in pictures and even better. Everything was new and clean. Perfect location.
"
200054,0,,Self Enquiry,3,29,Female,2,4,Deluxe,3,1,2,0,,rain,"Stelios was a great host. He met us at the metro station nearby and gave us some tips about the shops on the way to the apartment. He was available on his mobile and responded quickly to some queries we had. The apartment is nice, modern and clean,  and it comfortable accommodated the four of us. The apartment is in an excellent location right next toMONASTIRAKI and the Metro, and is in easy walking distance to the many lovely sights and attractions in Athens. We really enjoyed our stay in this apartment."
200055,0,33,Company Invited,1,6,Fe Male,3,3,Standard,3,2,2,0,28458,rain,Stelios' place is super cute and in a great area close to plenty of bars and restaurants! Also not too far from the Acropolis. Stelios arranged for a cab to pick us up from the airport since we had a very late night arrival. He was super helpful and available to answer questions quickly! Definitely recommend staying here. 
200056,0,35,Company Invited,3,24,Male,3,3,Standard,5,2,4,0,24069,snow,"Stelios has been very helpful and his place is very well located and very clean.  We have arrived later than expected because of the ferry and he was unable to check us in because of his work.  He rapidly contacted his brother who checked us in within half and hour.  Lucas was very nice and very helpful explaining the area ofMONASTIRAKI (market, restaurants etc...)   Very nice area with lots of things to do.  Access by foot to everything that is to see in Athens.  A little loud at night because of the bars but this is the price to pay to live in such a nice area of Athens.  Thanks to Stelios and his brother.  We had a great time and we would recommend his place to everybody.  Beds are very comfortable which is not the cas everywhere we've been.  We would rent his appartment again anytime."
200057,0,,Self Enquiry,1,29,Female,1,3,Basic,5,4,4,0,,sun,"Very well located modern, clan flat with two separate bedrooms. Just walking distance from metro and many restaurants bars. Close to plaka and famous bars. Very friendly host ;-) I would fully recommend this place to anyone. "
200058,0,31,Self Enquiry,1,13,Male,2,3,Deluxe,3,4,3,0,20915,snow,"Communication with Stelios was very easy. He made sure we had what was needed and made himself available for any questions we had. The Apartment is clean, spacious and amazing location.

thanks Stelios"
200059,0,37,Self Enquiry,1,6,Male,2,4,Deluxe,3,2,5,1,20993,snow,"Awesome aparment with great location.
A lot of restaurants and coffee shops nearby.
Stelios is a geat host and recommended us a lot of cool places to visit and even met us at the metro station which is less than 5 minutes away from the aparment.

"
